,Temperature_K,LuminosityLLo,RadiusRRo,Absolute_magnitudeMv,Star_type,Star_color,Spectral_Class,Mag_plus_radius
87,10980,0.00074,0.0087,11.19,2,Blue White,B,11.198699999999999
88,13720,0.00018,0.00892,12.97,2,white,F,12.97892
89,19860,0.0011,0.0131,11.34,2,Blue ,B,11.3531
90,5300,0.59,0.91,5.49,3,yellow-white,F,6.4
91,4526,0.153,0.865,6.506,3,yellowish,K,7.371
92,4077,0.085,0.795,6.228,3,yellowish,K,7.023
93,4980,0.357,1.13,4.78,3,Yellowish,K,5.91
94,9030,45.0,2.63,1.45,3,Blue-white,A,4.08
95,11250,672.0,6.98,-2.3,3,Blue-white,A,4.680000000000001
96,5112,0.63,0.876,4.68,3,Orange-Red,K,5.556
97,7720,7.92,1.34,2.44,3,yellow-white,F,3.7800000000000002
98,12098,689.0,7.01,0.02,3,Blue-white,A,7.029999999999999
99,36108,198000.0,10.2,-4.4,3,Blue,O,5.799999999999999
100,33300,240000.0,12.0,-6.5,4,Blue,B,5.5
101,40000,813000.0,14.0,-6.23,4,Blue,O,7.77
102,23000,127000.0,36.0,-5.76,4,Blue,O,30.240000000000002
103,17120,235000.0,83.0,-6.89,4,Blue,O,76.11
104,11096,112000.0,12.0,-5.91,4,Blue,O,6.09
105,14245,231000.0,42.0,-6.12,4,Blue,O,35.88
106,24630,363000.0,63.0,-5.83,4,Blue,O,57.17
107,12893,184000.0,36.0,-6.34,4,Blue,O,29.66
108,24345,142000.0,57.0,-6.24,4,Blue,O,50.76
109,33421,352000.0,67.0,-5.79,4,Blue,O,61.21
110,3459,100000.0,1289.0,-10.7,5,Red,M,1278.3
111,3605,126000.0,1124.0,-10.81,5,Red,M,1113.19
112,3615,200000.0,1635.0,-11.33,5,Red,M,1623.67
113,3399,117000.0,1486.0,-10.92,5,Red,M,1475.08
114,3610,132000.0,1522.0,-10.86,5,Red,M,1511.14
115,3553,145000.0,1324.0,-11.03,5,Red,M,1312.97
116,4015,282000.0,1534.0,-11.39,5,Red,K,1522.61
117,3625,74000.0,876.0,-10.25,5,Red,M,865.75
118,6850,229000.0,1467.0,-10.07,5,Red,G,1456.93
119,3780,200000.0,1324.0,-10.7,5,Red,M,1313.3
120,3323,0.00043,0.0912,17.16,0,Red,M,17.2512
121,3531,0.00093,0.0976,19.94,0,Red,M,20.0376
122,3218,0.00054,0.11,20.02,0,Red,M,20.13
123,3146,0.00015,0.0932,16.92,0,Red,M,17.0132
124,3511,0.00064,0.109,17.12,0,Red,M,17.229000000000003
125,3225,0.00076,0.121,19.63,0,Red,M,19.750999999999998
126,2935,0.00087,0.0932,16.88,0,Red,M,16.9732
127,2861,0.00019,0.0899,16.71,0,Red,M,16.7999
128,2856,0.000896,0.0782,19.56,0,Red,M,19.638199999999998
129,2731,0.000437,0.0856,18.09,0,Red,M,18.1756
130,3095,0.00019,0.492,10.87,1,Red,M,11.361999999999998
131,3607,0.00023,0.38,10.34,1,Red,M,10.72
132,3100,0.008,0.31,11.17,1,Red,M,11.48
133,2989,0.0087,0.34,13.12,1,Red,M,13.459999999999999
134,3542,0.0009,0.62,14.23,1,Red,M,14.85
135,3243,0.0023,0.73,14.75,1,Red,M,15.48
136,3091,0.0081,0.24,11.43,1,Red,M,11.67
137,3598,0.0011,0.56,14.26,1,Red,M,14.82
138,3324,0.0034,0.34,12.23,1,Red,M,12.57
139,3541,0.0013,0.256,14.33,1,Red,M,14.586
140,13420,0.00059,0.00981,13.67,2,Blue White,B,13.67981
141,21020,0.0015,0.0112,11.52,2,Blue,B,11.5312
142,18290,0.0013,0.00934,12.78,2,Blue,B,12.78934
143,14520,0.00082,0.00972,11.92,2,Blue White,B,11.92972
144,11900,0.00067,0.00898,11.38,2,Blue white ,B,11.38898
145,8924,0.00028,0.00879,14.87,2,Blue white,A,14.878789999999999
146,12912,0.00071,0.00945,12.83,2,Blue white,B,12.83945
147,14732,0.00011,0.00892,12.89,2,white,F,12.89892
148,7723,0.00014,0.00878,14.81,2,White,A,14.81878
149,12984,0.00088,0.00996,11.23,2,Blue White,B,11.23996
150,29560,188000.0,6.02,-4.01,3,Blue-white,B,2.01
151,8945,38.0,2.487,0.12,3,Blue-White,A,2.607
152,14060,1092.0,5.745,-2.04,3,Blue-white,A,3.705
153,16390,1278.0,5.68,-3.32,3,Blue-white,B,2.36
154,25070,14500.0,5.92,-3.98,3,Blue-white,B,1.94
155,28700,16790.0,6.4,-4.09,3,Blue-white,B,2.3100000000000005
156,26140,14520.0,5.49,-3.8,3,Blue-white,B,1.6900000000000004
157,20120,4720.0,6.78,-3.4,3,Blue-white,B,3.3800000000000003
158,13023,998.0,6.21,-1.38,3,Blue-white,A,4.83
159,37800,202900.0,6.86,-4.56,3,Blue,O,2.3000000000000007
160,25390,223000.0,57.0,-5.92,4,Blue,O,51.08
161,11567,251000.0,36.0,-6.245,4,Blue,O,29.755
162,12675,452000.0,83.0,-5.62,4,Blue,O,77.38
163,5752,245000.0,97.0,-6.63,4,Blue,O,90.37
164,8927,239000.0,35.0,-7.34,4,Blue,O,27.66
165,7282,131000.0,24.0,-7.22,4,Blue,O,16.78
166,19923,152000.0,73.0,-5.69,4,Blue,O,67.31
167,26373,198000.0,39.0,-5.83,4,Blue,O,33.17
168,17383,342900.0,30.0,-6.09,4,Blue,O,23.91
169,9373,424520.0,24.0,-5.99,4,Blue,O,18.009999999999998
170,3570,320000.0,1480.0,-7.58,5,Red,M,1472.42
171,3500,138000.0,1420.0,-8.18,5,Red,M,1411.82
172,4287,630000.0,1315.0,-9.2,5,Orange,K,1305.8
173,26000,316000.0,1679.0,-9.1,5,Blue,B,1669.9
174,3600,240000.0,1190.0,-7.89,5,Red,M,1182.11
175,3614,145000.0,1553.0,-7.71,5,Red,M,1545.29
176,18000,200000.0,1045.0,-8.3,5,Blue,O,1036.7
177,11000,170000.0,1779.0,-9.9,5,Blue-white,B,1769.1
178,12100,120000.0,708.9,-7.84,5,Blue-white,B,701.06
179,24490,248490.0,1134.5,-8.24,5,Blue-white,B,1126.26
180,2831,0.000231,0.0915,16.21,0,Red,M,16.3015
181,2914,0.000631,0.116,18.39,0,Red,M,18.506
182,3419,0.000245,0.126,17.56,0,Red,M,17.686
183,3218,0.000452,0.0987,17.34,0,Red,M,17.4387
184,3453,0.000621,0.0773,17.08,0,Red,M,17.1573
185,2889,0.000352,0.0973,16.93,0,Red,M,17.0273
186,2968,0.000461,0.119,17.45,0,Red,M,17.569
187,3484,0.000551,0.0998,16.67,0,Red,M,16.7698
188,2778,0.000849,0.112,19.45,0,Red,M,19.561999999999998
189,3523,0.000957,0.129,16.35,0,Red,M,16.479000000000003
190,3462,0.0053,0.148,11.47,1,Red,M,11.618
191,3257,0.0024,0.46,10.73,1,Red,M,11.190000000000001
192,2994,0.0072,0.28,13.45,1,Red,M,13.729999999999999
193,3212,0.0016,0.378,12.854,1,Red,M,13.232
194,3523,0.0054,0.319,12.43,1,Red,M,12.749
195,3598,0.0027,0.67,13.667,1,Red,M,14.337
196,3142,0.00132,0.258,14.12,1,Red,M,14.378
197,3496,0.00125,0.336,14.94,1,Red,M,15.276
198,3324,0.0065,0.471,12.78,1,Red,M,13.251
199,3463,0.0027,0.675,14.776,1,Red,M,15.451
200,16790,0.0014,0.0121,12.87,2,Blue,B,12.8821
201,15680,0.00122,0.0114,11.92,2,Blue,B,11.9314
202,14982,0.00118,0.0113,12.23,2,Blue,B,12.2413
203,13340,0.00109,0.0116,12.9,2,Blue,B,12.9116
204,18340,0.00134,0.0124,11.22,2,Blue,B,11.2324
205,19920,0.00156,0.0142,11.34,2,Blue,B,11.3542
206,24020,0.00159,0.0127,10.55,2,Blue,B,10.562700000000001
207,23092,0.00132,0.0104,10.18,2,Blue,B,10.1904
208,17920,0.00111,0.0106,11.66,2,Blue,B,11.6706
209,19360,0.00125,0.00998,11.62,2,Blue,B,11.62998
210,22350,12450.0,6.36,-3.67,3,Blue-white,B,2.6900000000000004
211,10012,552.0,5.856,0.013,3,Blue-white,A,5.869
212,13089,788.0,5.992,-0.12,3,Blue-white,A,5.872
213,22012,6748.0,6.64,-2.55,3,Blue-white,B,4.09
214,34190,198200.0,6.39,-4.57,3,Blue,O,1.8199999999999994
215,32460,173800.0,6.237,-4.36,3,Blue,O,1.8769999999999998
216,9320,29.0,1.91,1.236,3,Blue-white,A,3.146
217,19400,10920.0,6.03,-3.08,3,Blue-white,B,2.95
218,17140,883.0,5.653,-2.64,3,Blue-white,B,3.0129999999999995
219,8250,9.25,1.93,-0.98,3,yellow-white,F,0.95
220,23678,244290.0,35.0,-6.27,4,Blue,O,28.73
221,12749,332520.0,76.0,-7.02,4,Blue,O,68.98
222,9383,342940.0,98.0,-6.98,4,Blue,O,91.02
223,23440,537430.0,81.0,-5.975,4,Blue,O,75.025
224,16787,246730.0,62.0,-6.35,4,Blue,O,55.65
225,18734,224780.0,46.0,-7.45,4,Blue,O,38.55
226,9892,593900.0,80.0,-7.262,4,Blue,O,72.738
227,10930,783930.0,25.0,-6.224,4,Blue,O,18.776
228,23095,347820.0,86.0,-5.905,4,Blue,O,80.095
229,21738,748890.0,92.0,-7.346,4,Blue,O,84.654
230,24145,382993.0,1494.0,-8.84,5,Blue-white,B,1485.16
231,38234,272830.0,1356.0,-9.29,5,Blue,O,1346.71
232,32489,648430.0,1948.5,-10.84,5,Blue,O,1937.66
233,27739,849420.0,1252.0,-7.59,5,Blue-white,B,1244.41
234,21904,748490.0,1130.0,-7.67,5,Blue-white,B,1122.33
235,38940,374830.0,1356.0,-9.93,5,Blue,O,1346.07
236,30839,834042.0,1194.0,-10.63,5,Blue,O,1183.37
237,8829,537493.0,1423.0,-10.73,5,White,A,1412.27
238,9235,404940.0,1112.0,-11.23,5,White,A,1100.77
239,37882,294903.0,1783.0,-7.8,5,Blue,O,1775.2
